Year	Total Indian Textiles imported to England	Baft %	Baftas (coloured) %	Baftas (white) %	Bandannoes %	Bettelles %	Boralchowders %	Byram % Pauts % 	Carridarries %	Cheiloes %	Chilleas %	Chintz %	Coopees (white) %	Cossaes (white) %	Cuttanees (white) %	Derebands (white) %	Doreas %	Dosooties (white) %	Dungarees %	Elatches %	Emerties (white) %	Ginghams %	Gurrahs (white) %	Guinea Stuffs %	Humhums (white) %	Lacowries (white) %	Long Cloth (white) %	Mercoolees (white) %	Moorees (white) %	Cotton Fabrics %	Nilleas %	Pallampores %	Pautkeys %	Percalles (white) %	Photaes %	Romalls %	Sail Cloth (white) %	Sallamporees (white) %	Sallowes (white) %	Sannoes (white) %	Seerbettees (white) %	Silk Lungees %	Sooseys %	Sovaguzzies (white) %	Taffetas (white) %	Tanjeebs (white) %
1682	803379	NA	NA	9.2	NA	4.4	NA	NA	NA	NA	NA	3.3	NA	NA	NA	5.3	NA	NA	2.9	NA	NA	NA	NA	3.3	NA	NA	12.9	NA	NA	NA	NA	NA	5.2	4.7	NA	5.5	NA	12.4	NA	3.8	NA	NA	NA	2.8	NA	NA
1683	923000	NA	NA	12.2	NA	3.4	NA	NA	NA	NA	NA	6.1	NA	NA	NA	5.1	NA	NA	4	NA	NA	NA	NA	6.7	NA	NA	10.2	NA	NA	NA	NA	NA	3.4	3.6	NA	NA	NA	14.1	NA	3.2	NA	NA	NA	3.4	3	NA
1684	792699	NA	NA	12	NA	5.8	NA	NA	NA	NA	NA	9.4	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	NA	6.3	NA	NA	5.1	NA	NA	NA	3.3	NA	4.1	NA	NA	5.9	3.3	12	NA	3.9	NA	NA	NA	2.4	NA	NA
1685	776492	NA	NA	9	NA	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	6.3	NA	NA	NA	NA	NA	NA	NA	6.9	NA	NA	2.7	2.8	NA	5.3	NA	NA	11.3	NA	7.5	NA	3.7	NA	2.6	NA	NA	2.5	NA
1686	722866	NA	3.2	6.7	NA	4.6	NA	NA	NA	NA	NA	9.1	NA	NA	2.5	NA	NA	NA	5.6	NA	NA	2.6	NA	5.2	NA	NA	7.1	NA	NA	NA	3.6	NA	6.8	NA	NA	9.1	NA	9.2	NA	NA	NA	NA	NA	NA	NA	NA
1687	963428	NA	NA	6.5	NA	7.5	NA	NA	NA	NA	NA	6.9	NA	NA	NA	4.8	NA	NA	7.5	NA	NA	2.7	NA	5	NA	NA	12.3	NA	2.1	NA	NA	NA	7.8	NA	NA	4	NA	7.6	NA	NA	NA	NA	NA	4.5	NA	NA
1688	602198	NA	NA	5.8	NA	5.4	NA	NA	NA	NA	NA	14.2	NA	NA	2	7.6	NA	NA	NA	NA	NA	NA	NA	12.3	NA	NA	3.6	NA	6.3	2.8	NA	NA	3.3	3.3	NA	NA	NA	5.9	NA	NA	NA	NA	NA	5.4	NA	NA
1689	351149	NA	NA	NA	NA	15.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.8	NA	13.5	5.8	4.8	NA	NA	NA	NA	9.1	NA	21.6	NA	NA	NA	NA	NA	NA	6.2	NA
1690	210783	NA	7.5	3.2	NA	NA	NA	NA	NA	NA	NA	5.4	NA	NA	9.4	14.4	NA	NA	NA	NA	NA	NA	NA	2.6	NA	NA	5.1	NA	NA	NA	NA	NA	15.9	NA	NA	NA	NA	7.9	10.4	NA	NA	NA	NA	NA	NA	NA
1691	100207	NA	5	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3	NA	NA	4.3	NA	NA	NA	NA	5	2.7	11.2	NA	NA	NA	NA	NA	7.9	17.2	NA	NA	NA	NA	6.9	NA	NA	NA	NA	NA	2.6	NA	NA	7.4	6.9
1692	56377	NA	6.6	6.5	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	25.2	NA	NA	NA	NA	5.2	NA	NA	1.2	NA	NA	NA	NA	NA	14.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.4	NA	NA
1693	183548	NA	3.1	2.8	NA	NA	NA	NA	NA	NA	NA	6.3	NA	NA	NA	13.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	4.2	NA	43.4	NA	NA	3.3	NA	1.9	NA	NA	NA	NA	NA	NA	3	3
1694	266538	NA	NA	NA	NA	2.8	NA	NA	NA	NA	NA	NA	NA	15.9	NA	NA	8.5	NA	NA	NA	NA	NA	2.4	NA	NA	NA	3.9	NA	NA	9	10.2	NA	NA	NA	NA	6.3	NA	7.2	NA	NA	NA	NA	NA	NA	6.3	8.8
1695	119355	NA	7.5	2.1	NA	NA	NA	14.3	NA	NA	NA	15.7	NA	3.1	NA	NA	NA	NA	6	NA	NA	NA	NA	7.9	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	8.2	9	NA	NA	NA	NA	NA	NA	NA	NA	9
1696	199390	NA	NA	NA	NA	3.5	NA	NA	NA	NA	NA	3	NA	6.2	NA	NA	3.7	NA	2.6	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	5.7	5.7	NA	NA	NA	NA	12.2	NA	5.3	NA	NA	NA	3.8	NA	NA	9.6	5.5
1697	219755	NA	NA	NA	NA	2.3	NA	NA	NA	NA	NA	29.5	NA	4.7	NA	NA	NA	NA	4	NA	NA	3.6	2.6	2.8	NA	NA	NA	NA	NA	4.5	2.7	NA	NA	NA	NA	7.1	NA	6.1	NA	NA	NA	NA	NA	NA	4.2	6.8
1698	598865	NA	NA	10.5	NA	4.5	NA	4.7	NA	NA	NA	4.8	NA	2.2	NA	6.8	NA	NA	NA	NA	NA	NA	NA	7.9	NA	3.1	5.7	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	11.7	NA	NA	NA	NA	NA	2.8	NA	4.5
1699	300863	NA	NA	3.3	NA	2.8	NA	NA	NA	NA	NA	6.8	NA	7	NA	2.1	4.2	NA	NA	NA	NA	NA	2.1	NA	NA	NA	9.8	NA	NA	3.9	NA	NA	NA	NA	NA	NA	NA	12.5	NA	NA	NA	NA	2.1	NA	3.8	8.7
1700	85208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.7	NA	11.7	NA	NA	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.3
1701	620302	NA	NA	7.1	NA	5.7	NA	NA	NA	NA	NA	8	NA	2.6	NA	NA	2.8	NA	NA	NA	NA	NA	NA	8.5	NA	NA	11.5	NA	NA	4.8	NA	2.7	NA	NA	NA	NA	NA	6.5	NA	NA	NA	NA	NA	9.2	3.3	2.7
1702	304300	NA	NA	4.1	NA	5.1	NA	NA	NA	NA	NA	13.9	NA	7.8	NA	NA	3.2	NA	NA	2.6	NA	NA	5.2	NA	NA	NA	3.9	NA	NA	10.9	NA	NA	NA	NA	NA	8.8	NA	NA	NA	NA	NA	NA	4.5	NA	4.7	5.4
1703	248158	NA	NA	6.7	NA	9.4	NA	NA	NA	NA	NA	NA	NA	2.7	NA	9	NA	NA	NA	NA	NA	NA	NA	17.5	NA	NA	12.8	NA	NA	2.8	1.4	NA	NA	NA	NA	5.3	NA	8.3	NA	NA	NA	NA	NA	4.3	NA	NA
1704	65991	NA	NA	1.4	NA	15.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.1	NA	NA	NA	30.1	NA	6.1	NA	NA	NA	NA	NA	NA	NA	NA	17.4	NA	NA	NA	NA	NA	3.3	NA	NA
1705	150614	NA	NA	NA	NA	8.4	NA	NA	NA	NA	NA	NA	NA	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.3	NA	2.9	4.9	NA	NA	NA	NA	NA	NA	NA	24.1	NA	NA	NA	NA	NA	NA	NA	NA
1706	201824	NA	NA	NA	NA	5.2	NA	NA	NA	NA	NA	NA	NA	5.4	NA	NA	4.6	NA	NA	NA	NA	NA	3.6	NA	NA	NA	17.3	NA	NA	8.3	NA	NA	NA	NA	NA	3.8	NA	21.2	NA	NA	NA	NA	NA	9.6	NA	3.6
1707	168772	NA	NA	NA	NA	4.3	NA	NA	NA	NA	NA	NA	NA	4.1	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.7	NA	NA	5.7	NA	NA	NA	NA	NA	2.1	NA	22.6	NA	NA	NA	NA	NA	NA	NA	4.8
1708	148044	NA	NA	NA	NA	12.7	NA	NA	NA	NA	NA	NA	NA	6.5	NA	NA	4.2	NA	NA	NA	NA	NA	4.4	NA	NA	NA	25.1	NA	NA	4.9	NA	NA	NA	NA	NA	4.2	NA	22.4	NA	NA	NA	NA	NA	NA	3	3.4
1709	247671	1.9	NA	NA	NA	3.7	NA	NA	NA	NA	NA	7.1	NA	6.9	NA	2.4	3.6	NA	NA	NA	NA	NA	4.9	NA	NA	1.8	17.9	NA	NA	5.3	NA	NA	NA	NA	NA	NA	NA	18.8	NA	NA	NA	NA	NA	NA	2.7	3.4
1710	477422	3.6	NA	NA	NA	4.5	NA	NA	NA	NA	NA	10.2	NA	4.3	NA	4.3	2.8	NA	NA	NA	6.8	NA	6.5	6.1	NA	NA	10.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9	NA	NA	NA	NA	NA	4.6	NA	3.6
1711	557533	2.9	NA	NA	NA	2.5	NA	NA	NA	NA	NA	12.9	NA	NA	NA	NA	3	NA	NA	NA	2.8	NA	10.5	5.1	NA	NA	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8	NA	NA	NA	NA	NA	NA	NA	4.9
1712	607228	NA	3.2	NA	NA	5.9	NA	2.7	NA	NA	NA	10.6	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	3.6	5.6	NA	3.5	7.3	NA	NA	5.8	NA	NA	NA	NA	NA	4.5	NA	11.4	NA	NA	NA	NA	NA	5	NA	NA
1713	602103	NA	NA	NA	NA	4.1	2.1	NA	NA	NA	NA	9.2	NA	6.2	NA	NA	1.8	NA	NA	NA	NA	NA	3.7	8.2	NA	NA	8.7	NA	NA	7.6	NA	NA	NA	NA	NA	NA	NA	11.9	NA	2.6	NA	NA	2.9	7	NA	NA
1714	631227	NA	NA	NA	NA	NA	NA	8.1	NA	NA	NA	6.2	NA	5.2	NA	NA	NA	NA	NA	NA	NA	NA	4.7	7.2	NA	NA	16.4	NA	NA	4.9	NA	NA	NA	NA	NA	NA	NA	17.8	NA	2.3	NA	NA	NA	8.4	NA	NA
1715	350764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.4	NA	NA	3.9	NA	NA	NA	NA	NA	6.1	NA	NA	NA	15.6	NA	NA	8	NA	NA	NA	NA	NA	4.7	NA	23.9	NA	2.9	2.8	NA	NA	NA	NA	2.9
1716	416357	NA	NA	NA	NA	2.4	NA	NA	NA	NA	NA	1.4	NA	8.9	NA	NA	3.2	NA	NA	NA	NA	NA	13.4	NA	NA	NA	14.3	NA	NA	6.6	NA	NA	NA	NA	NA	7.8	NA	17.8	NA	NA	2.8	NA	NA	NA	NA	2.2
1717	462623	NA	NA	NA	NA	6.5	NA	NA	NA	NA	NA	NA	NA	6.1	NA	NA	NA	NA	NA	NA	NA	NA	6.2	NA	NA	NA	21.7	NA	NA	3.8	NA	NA	NA	NA	NA	6.7	NA	32.5	NA	NA	2.5	NA	NA	NA	NA	NA
