Textile	Total Imports from India, 1680 – 1689 (Number of Pieces)
Sallampores	807837
Long Cloth	660958
Baftas, white	609550
Chintz	433295
Romalls	418607
Bettelles	403919
Pautkey	374543
Guinea Stuffs	367199
Dungarees	301103
Derebands	249695
Sovaguzzies	212975
Nilleas	110160
Sannoes	110160
Taffetas	102816
